"","id","group","year","bryant_percent"
"M102.Music.Y1","M102","Music","Y1","0.318181818"
"M106.Music.Y1","M106","Music","Y1","0.636363636"
"M107.Music.Y1","M107","Music","Y1","0.5"
"M108.Music.Y1","M108","Music","Y1","0.454545455"
"M109.Music.Y1","M109","Music","Y1","0.409090909"
"M112.Music.Y1","M112","Music","Y1","0.636363636"
"M113.Music.Y1","M113","Music","Y1","0.272727273"
"S101.Sport.Y1","S101","Sport","Y1","0.545454545"
"S103.Sport.Y1","S103","Sport","Y1","0.545454545"
"S104.Sport.Y1","S104","Sport","Y1","0.5"
"S105.Sport.Y1","S105","Sport","Y1","0.454545455"
"S107.Sport.Y1","S107","Sport","Y1","0.590909091"
"S108.Sport.Y1","S108","Sport","Y1","0.909090909"
"S109.Sport.Y1","S109","Sport","Y1","0.5"
"S110.Sport.Y1","S110","Sport","Y1","0.454545455"
"S111.Sport.Y1","S111","Sport","Y1","0.590909091"
"S114.Sport.Y1","S114","Sport","Y1","0.545454545"
"S117.Sport.Y1","S117","Sport","Y1","0.5"
"C101.Control.Y1","C101","Control","Y1","0.636363636"
"C102.Control.Y1","C102","Control","Y1","0.5"
"C107.Control.Y1","C107","Control","Y1","0.590909091"
"C108.Control.Y1","C108","Control","Y1","0.545454545"
"C109.Control.Y1","C109","Control","Y1","0.681818182"
"C111.Control.Y1","C111","Control","Y1","0.636363636"
"C112.Control.Y1","C112","Control","Y1","0.227272727"
"C113.Control.Y1","C113","Control","Y1","0.590909091"
"C114.Control.Y1","C114","Control","Y1","0.545454545"
"C116.Control.Y1","C116","Control","Y1","0.363636364"
"C104.Control.Y1","C104","Control","Y1","0.454545455"
"M105.Music.Y1","M105","Music","Y1","0.545454545"
"S112.Sport.Y1","S112","Sport","Y1","0.772727273"
"C115.Control.Y1","C115","Control","Y1","0.454545455"
"M101.Music.Y1","M101","Music","Y1","0.545454545"
"M104.Music.Y1","M104","Music","Y1","0.636363636"
"M110.Music.Y1","M110","Music","Y1","0.5"
"M111.Music.Y1","M111","Music","Y1","0.409090909"
"S106.Sport.Y1","S106","Sport","Y1","0.545454545"
"C106.Control.Y1","C106","Control","Y1","0.409090909"
"M02.Music.Y1","M02","Music","Y1","0.36"
"M04.Music.Y1","M04","Music","Y1","0.27"
"M05.Music.Y1","M05","Music","Y1","0.68"
"M06.Music.Y1","M06","Music","Y1","0.73"
"M07.Music.Y1","M07","Music","Y1","0.14"
"M09.Music.Y1","M09","Music","Y1","0.64"
"M10.Music.Y1","M10","Music","Y1","0.64"
"M12.Music.Y1","M12","Music","Y1","0.64"
"M17.Music.Y1","M17","Music","Y1","0.64"
"S01.Sport.Y1","S01","Sport","Y1","0.55"
"S04.Sport.Y1","S04","Sport","Y1","0.59"
"S07.Sport.Y1","S07","Sport","Y1","0.55"
"S08.Sport.Y1","S08","Sport","Y1","0.55"
"S17.Sport.Y1","S17","Sport","Y1","0.64"
"S28.Sport.Y1","S28","Sport","Y1","0.55"
"S31.Sport.Y1","S31","Sport","Y1","0.681818182"
"C02.Control.Y1","C02","Control","Y1","0.59"
"C03.Control.Y1","C03","Control","Y1","0.59"
"C04.Control.Y1","C04","Control","Y1","0.55"
